cid,compound_id,herb_id,herb_name,evidence_tier,accepted_evidence_sources,tcmsp_mol_ids,evidence_record_count,source_snapshot,adjudication_status
11842593,CMP-PUBCHEM-11842593,HERB-0134,川芎,primary_direct,TCMSP_molecule_page_snapshot,MOL001210,1,2025-07-18,accepted_direct_relation
11842593,CMP-PUBCHEM-11842593,HERB-0140,干姜,primary_direct,TCMSP_molecule_page_snapshot,MOL001210,1,2025-07-18,accepted_direct_relation
11842593,CMP-PUBCHEM-11842593,HERB-0178,柴胡,primary_direct,TCMSP_molecule_page_snapshot,MOL001210,1,2025-07-18,accepted_direct_relation
11842593,CMP-PUBCHEM-11842593,HERB-0273,白芷,primary_direct,TCMSP_molecule_page_snapshot,MOL001210,1,2025-07-18,accepted_direct_relation
11842593,CMP-PUBCHEM-11842593,HERB-0377,菊花,primary_direct,TCMSP_molecule_page_snapshot,MOL001210,1,2025-07-18,accepted_direct_relation
11842593,CMP-PUBCHEM-11842593,HERB-0390,蒿本,primary_direct,TCMSP_molecule_page_snapshot,MOL001210,1,2025-07-18,accepted_direct_relation
11842593,CMP-PUBCHEM-11842593,HERB-0488,麻黄,primary_direct,TCMSP_molecule_page_snapshot,MOL001210,1,2025-07-18,accepted_direct_relation
11870462,CMP-PUBCHEM-11870462,HERB-0033,倒扣草,primary_direct,TCMSP_molecule_page_snapshot,MOL003036,1,2025-07-18,accepted_direct_relation
11870462,CMP-PUBCHEM-11870462,HERB-0035,党参,primary_direct,TCMSP_molecule_page_snapshot,MOL003036,1,2025-07-18,accepted_direct_relation
11870462,CMP-PUBCHEM-11870462,HERB-0311,紫菀,primary_direct,TCMSP_molecule_page_snapshot,MOL003036,1,2025-07-18,accepted_direct_relation
11870462,CMP-PUBCHEM-11870462,HERB-0437,金银花,primary_direct,TCMSP_molecule_page_snapshot,MOL003036,1,2025-07-18,accepted_direct_relation
11954881,CMP-PUBCHEM-11954881,HERB-0170,板蓝根,primary_direct,TCMSP_molecule_page_snapshot,MOL001765,1,2025-07-18,accepted_direct_relation
11972394,CMP-PUBCHEM-11972394,HERB-0170,板蓝根,primary_direct,TCMSP_molecule_page_snapshot,MOL001834,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0070,南瓜子,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0113,威灵仙,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0187,桑椹,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0196,槟榔,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0260,番泻叶,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0286,相思子,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0310,紫草,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0312,红参,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0353,苦杏仁,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0362,荆芥穗,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
