provenance_record_id,cid,compound_id,herb_id,herb_name,tcmsp_mol_id,evidence_tier,match_confidence,match_method,source_database,source_locator,source_snapshot,adjudication_status
TCMSP-ADJ-0008240,111470,CMP-PUBCHEM-111470,HERB-0407,西红花,MOL001381,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=782;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008241,111509,CMP-PUBCHEM-111509,HERB-0074,厚朴,MOL005959,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3291;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008242,111664,CMP-PUBCHEM-111664,HERB-0371,荷叶,MOL007221,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3763;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008243,111739,CMP-PUBCHEM-111739,HERB-0041,冬葵果,MOL008338,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=4309;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008244,113640,CMP-PUBCHEM-113640,HERB-0041,冬葵果,MOL008340,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=4311;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008245,114627,CMP-PUBCHEM-114627,HERB-0473,骨碎补,MOL009088,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=4674;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008246,114703,CMP-PUBCHEM-114703,HERB-0035,党参,MOL004623,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2567;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008247,114703,CMP-PUBCHEM-114703,HERB-0178,柴胡,MOL004623,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2567;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008248,114703,CMP-PUBCHEM-114703,HERB-0406,西洋参,MOL004623,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2567;herb_position=3,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008249,114776,CMP-PUBCHEM-114776,HERB-0091,夏枯草,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=10,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008250,114776,CMP-PUBCHEM-114776,HERB-0124,山楂叶,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=7,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008251,114776,CMP-PUBCHEM-114776,HERB-0202,檀香,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=9,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008252,114776,CMP-PUBCHEM-114776,HERB-0204,水红花子,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=8,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008253,114776,CMP-PUBCHEM-114776,HERB-0286,相思子,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=11,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008254,114776,CMP-PUBCHEM-114776,HERB-0333,胡芦巴,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008255,114776,CMP-PUBCHEM-114776,HERB-0393,蔓荆子,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=6,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008256,114776,CMP-PUBCHEM-114776,HERB-0413,败酱草,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008257,114776,CMP-PUBCHEM-114776,HERB-0464,香茅,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=12,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008258,114776,CMP-PUBCHEM-114776,HERB-0480,鸡血藤,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=3,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008259,114776,CMP-PUBCHEM-114776,HERB-0483,鸭跖草,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=13,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008260,114776,CMP-PUBCHEM-114776,HERB-0487,麦芽,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=5,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008261,114776,CMP-PUBCHEM-114776,HERB-0500,龙胆,MOL000498,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=329;herb_position=4,2025-07-18,accepted_direct_relation
