cid,has_tcmsp_mapping,herb_count,herb_names,tcmsp_mol_id_count,tcmsp_mol_ids,unique_edge_count,evidence_tiers,provenance_status
8182,1,33,人参叶 | 党参 | 凤尾草 | 土茯苓 | 大蓟 | 天南星 | 山茱萸 | 巴戟天 | 当归 | 木贼 | 桑叶 | 桑椹 | 款冬花 | 沙棘 | 牛膝 | 牡荆叶 | 竹节参 | 罗布麻叶 | 罗汉果 | 肉桂 | 芫花 | 芫荽 | 花椒 | 茺蔚子 | 荔枝核 | 菟丝子 | 薄荷 | 西洋参 | 辣椒 | 金银花 | 零陵香 | 黄芩 | 黑芝麻,1,MOL000885,33,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8183,1,7,川贝母 | 当归 | 款冬花 | 白芷 | 紫苏 | 细辛 | 零陵香,1,MOL008245,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8184,1,7,乳香 | 枇杷叶 | 桑叶 | 白芷 | 细辛 | 芫荽 | 荷叶,1,MOL001230,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8186,1,9,凌霄花 | 沙棘 | 灵芝 | 生姜 | 芫花 | 芫荽 | 陈皮 | 零陵香 | 黄芩,1,MOL005577,9,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8187,1,3,罗汉果 | 芫荽 | 零陵香,1,MOL010061,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8193,1,10,乳香 | 人参 | 枇杷叶 | 白芍 | 白芷 | 芫荽 | 荜茇 | 菊花 | 西洋参 | 黄柏,1,MOL001218,10,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8194,1,16,党参 | 凌霄花 | 升麻 | 巴豆 | 杜仲叶 | 沉香 | 沙棘 | 白芍 | 白芷 | 罗汉果 | 芫花 | 芫荽 | 苦楝子 | 蛇床子 | 鱼腥草 | 鼠曲草,1,MOL001644,16,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8200,1,2,木瓜 | 辣椒,1,MOL005133,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8205,1,3,白芷 | 蒿本 | 郁金,1,MOL004281,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8207,1,4,地耳草 | 白芷 | 紫花地丁 | 芫荽,1,MOL004459,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8209,1,7,乳香 | 人参 | 当归 | 枇杷叶 | 白芷 | 芫荽 | 辣椒,1,MOL001212,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8217,1,7,厚朴 | 山茱萸 | 川贝母 | 竹节参 | 红花 | 细辛 | 辣椒,1,MOL002703,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8247,1,2,川芎 | 蒿本,1,MOL002139,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8254,1,1,花椒,1,MOL013273,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8257,1,3,干姜 | 当归 | 防风,1,MOL002480,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8299,1,4,佛手 | 檀香 | 竹沥 | 葛花,1,MOL004482,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8344,1,2,桂枝 | 麻黄,1,MOL010551,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8363,1,3,枇杷叶 | 瞿麦 | 羌活,1,MOL003506,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8369,1,9,土贝母 | 山豆根 | 槐角 | 淫羊藿 | 瞿麦 | 红参 | 零陵香 | 马钱子 | 骨碎补,1,MOL003518,9,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8375,1,3,徐长卿 | 桂枝 | 赤芍,1,MOL005610,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8404,1,1,葱白,1,MOL011635,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8417,1,13,佛手 | 半边莲 | 川牛膝 | 枸骨叶 | 柴胡 | 白头翁 | 肿节风 | 艾叶 | 茵陈 | 葛根 | 葛花 | 青果 | 青蒿,1,MOL001999,13,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8418,1,9,山茱萸 | 徐长卿 | 木棉花 | 木蝴蝶 | 桂枝 | 满山红 | 白附子 | 芫荽 | 零陵香,1,MOL005501,9,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8419,1,1,吴茱萸,1,MOL004023,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8433,1,1,甘草,1,MOL004837,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8434,1,7,吴茱萸 | 大蒜 | 桑白皮 | 白茅根 | 芥子 | 芫花 | 葛花,1,MOL001873,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8437,1,1,海藻,1,MOL010580,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8441,1,2,没药 | 藁本,1,MOL001086,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8446,1,1,白附子,1,MOL012928,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8456,1,7,木蝴蝶 | 枇杷叶 | 紫苏 | 红芪 | 葎草 | 蔓荆子 | 西洋参,1,MOL007331,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8467,1,1,山茱萸,1,MOL005550,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
